dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk08.fjs,R5_composite,1.0564334256427808,755.5330479705707,29201.030824373593,522.9999999999998,8.5,138.75991821289062,62.0,3.0,0.3025761097669601,0.8353794667124717,10
Brandimarte,Mk08.fjs,R6_adaptive_weight,1.0678750828301649,754.1343126747831,29211.784818450273,522.9999999999998,13.0,130.74287676811218,51.0,3.5,0.345279723405838,0.8022182134379926,10
Brandimarte,Mk09.fjs,R1_survival_only,0.9629626733491157,667.3220105609752,27478.573537065575,32.49999999999994,64.5,136.74432051181793,70.0,2.0,0.2928571552038193,0.8777906196816843,10
Brandimarte,Mk09.fjs,R2_hv_only,0.9764023182775524,668.2272096845297,27549.400901446417,28.999999999999886,61.5,134.220397233963,70.0,2.0,0.321428582072258,0.8728610876949616,10
Brandimarte,Mk09.fjs,R3_cmax_only,0.9825886872137817,663.4141687109764,27675.28376034116,28.99999999999997,58.0,144.1669192314148,70.0,2.0,0.3000000119209289,0.8627391198984853,10
Brandimarte,Mk09.fjs,R4_survival_hv,0.9790687183308443,666.3179520330732,27464.13681004456,30.99999999999997,60.5,141.39079880714417,70.0,2.0,0.2714285850524902,0.8842232767701148,10
Brandimarte,Mk09.fjs,R5_composite,0.9804664162993513,669.1577366821431,27399.953797861366,28.99999999999997,57.5,139.8171569108963,70.0,2.0,0.2714285850524902,0.8834717142192609,10
Brandimarte,Mk09.fjs,R6_adaptive_weight,0.9853857245999674,658.0889467801303,27720.928714376358,28.999999999999915,50.5,143.52764999866486,70.0,2.0,0.2928571552038193,0.8598013717412932,10
Brandimarte,Mk10.fjs,R1_survival_only,0.8394255712904024,584.9776018870984,22621.67902042019,220.49999999999994,25.5,142.44422256946564,51.5,3.5,0.3716356158256531,0.8568636235841012,10
Brandimarte,Mk10.fjs,R2_hv_only,0.8754193596275786,575.728546274403,22602.852150171046,220.4999999999999,24.0,140.07786679267883,70.0,2.0,0.2961538583040237,0.8598013717412932,10
Brandimarte,Mk10.fjs,R3_cmax_only,0.891917452568287,575.0053285145927,22464.297047455017,219.99999999999997,29.5,135.52961218357086,70.0,2.0,0.28053830564022064,0.8126550885621653,10
Brandimarte,Mk10.fjs,R4_survival_hv,0.8615574159634414,583.2664806975579,22383.44752386632,221.49999999999994,26.0,134.49515962600708,69.0,2.0,0.30000001192092896,0.879782403511215,10
Brandimarte,Mk10.fjs,R5_composite,0.849996302764009,580.1890652327138,22490.16127543118,221.49999999999994,26.0,141.82068872451782,70.0,2.0,0.30217391252517695,0.833387682882941,10
Brandimarte,Mk10.fjs,R6_adaptive_weight,0.8252114071691778,582.1747716154402,22521.672297202,221.99999999999994,30.0,139.11756002902985,65.0,2.5,0.304257407784462,0.7968520262281124,10
Hurink_edata,la01.fjs,R1_survival_only,1.063048078095774,814.7174638382937,24371.77227053779,71.99999999999977,14.5,49.267112374305725,55.0,3.0,0.3737745136022568,0.7798087426153827,10
Hurink_edata,la01.fjs,R2_hv_only,1.0854563902483476,817.8959218665441,24328.517901862513,71.99999999999966,13.0,48.161845326423645,53.5,3.0,0.3174603283405304,0.8032846833165429,10
Hurink_edata,la01.fjs,R3_cmax_only,1.0557080058144606,815.1272370113969,24436.514289149534,71.99999999999972,17.5,47.954309701919556,55.5,3.0,0.299600288271904,0.8069739940245888,10
Hurink_edata,la01.fjs,R4_survival_hv,1.0800746645649721,808.278350059526,24447.985458133742,71.99999999999972,13.5,47.395139336586,48.5,3.5,0.3537076562643051,0.8568636235841012,10
Hurink_edata,la01.fjs,R5_composite,1.0603811850349047,823.0530562289632,24436.30343409709,71.99999999999966,16.0,50.62334847450256,68.0,2.0,0.30227744579315186,0.817584620548888,10
Hurink_edata,la01.fjs,R6_adaptive_weight,1.083984535459054,816.320781916468,24422.580690468785,71.99999999999966,15.0,48.125768542289734,56.0,3.0,0.32772752642631525,0.7516975268785152,10
Hurink_edata,la02.fjs,R1_survival_only,1.0835278932852794,825.093014437753,21776.71138544054,171.99999999999966,26.5,48.341190338134766,55.5,3.0,0.33908046782016754,0.8014666508871388,10
Hurink_edata,la02.fjs,R2_hv_only,1.0887089238587717,828.0802879647006,21795.48051359692,171.9999999999997,27.5,49.32033693790436,41.0,4.0,0.3225524425506592,0.8289468096240411,10
