contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_ucb_g200,200,4,1,20,-0.058772439133952026,-0.08132380929661515
online_minus_ucb_g200,200,4,2,20,-0.31830409374404267,-0.313154936371273
online_minus_ucb_g200,200,4,3,20,-0.134182665704507,-0.1552789043618888
online_minus_ucb_g200,200,4,4,20,-0.20380492608559286,-0.2061861244199747
online_minus_ucb_g200,200,5,0,20,-0.14800648567303465,-0.1707528004413584
online_minus_ucb_g200,200,5,1,20,-0.11215476390375223,-0.1657954064327148
online_minus_ucb_g200,200,5,2,20,-0.12317312342236408,-0.13000993284398715
online_minus_ucb_g200,200,5,3,20,-0.11270136969303868,-0.13309209975093914
online_minus_ucb_g200,200,5,4,20,-0.12229823980503435,-0.14161957000416964
online_minus_scratch_g200,200,1,0,20,-0.23707601104110376,-0.24673748673417295
online_minus_scratch_g200,200,1,1,20,-0.12669087901046916,-0.16299280604106375
online_minus_scratch_g200,200,1,2,20,-0.09467649875509088,-0.09457019204592562
online_minus_scratch_g200,200,1,3,20,-0.14797992387767095,-0.1364503486320932
online_minus_scratch_g200,200,1,4,20,-0.08511666473908935,-0.1071962227329913
online_minus_scratch_g200,200,2,0,20,-0.16384198745868706,-0.20262938942095698
online_minus_scratch_g200,200,2,1,20,-0.1311608722482282,-0.1748566647600594
online_minus_scratch_g200,200,2,2,20,-0.19071909180186852,-0.23947211204367275
online_minus_scratch_g200,200,2,3,20,-0.1215711974946036,-0.10400424591682392
online_minus_scratch_g200,200,2,4,20,-0.11656199712771043,-0.1458680158132452
online_minus_scratch_g200,200,3,0,20,-0.18398147337160725,-0.15889289063582654
online_minus_scratch_g200,200,3,1,20,-0.11023952238143503,-0.10731280811564763
online_minus_scratch_g200,200,3,2,20,-0.24691750777554694,-0.2340373472558018
online_minus_scratch_g200,200,3,3,20,-0.18214877520241063,-0.1790206865754007
online_minus_scratch_g200,200,3,4,20,-0.1774213350630488,-0.1283627285322928
online_minus_scratch_g200,200,4,0,20,-0.23686367791160284,-0.2690204178267863
online_minus_scratch_g200,200,4,1,20,-0.05431658505641712,-0.06760130076870487
online_minus_scratch_g200,200,4,2,20,-0.34204000997677836,-0.3243573290409117
online_minus_scratch_g200,200,4,3,20,-0.15163809718718235,-0.15305652216304616
online_minus_scratch_g200,200,4,4,20,-0.15842597359641097,-0.1789085645865019
online_minus_scratch_g200,200,5,0,20,-0.15191241633834757,-0.16489246590801554
online_minus_scratch_g200,200,5,1,20,-0.08531528514576203,-0.14636535573383436
online_minus_scratch_g200,200,5,2,20,-0.11258277234991482,-0.11403455784969059
online_minus_scratch_g200,200,5,3,20,-0.10325890331375281,-0.12825238074985937
online_minus_scratch_g200,200,5,4,20,-0.14014003298451844,-0.1446339921568578
online_minus_frozen_g50,50,1,0,20,0.0,0.0
online_minus_frozen_g50,50,1,1,20,0.0,0.0
online_minus_frozen_g50,50,1,2,20,0.0,0.0
online_minus_frozen_g50,50,1,3,20,0.0,0.0
online_minus_frozen_g50,50,1,4,20,0.0,0.0
online_minus_frozen_g50,50,2,0,20,0.0,0.0
online_minus_frozen_g50,50,2,1,20,0.0,0.0
online_minus_frozen_g50,50,2,2,20,0.0,0.0
online_minus_frozen_g50,50,2,3,20,0.0,0.0
online_minus_frozen_g50,50,2,4,20,0.0,0.0
online_minus_frozen_g50,50,3,0,20,0.0,0.0
online_minus_frozen_g50,50,3,1,20,0.0,0.0
