Fold,dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,elapsed_seconds,cpu_seconds,learning_time,Initial_evaluations,Offspring_evaluations,Online_PPO_samples,Online_PPO_collected_transitions,Online_PPO_discarded_singletons,PPO_controlled_actions,Online_PPO_updates,Online_PPO_optimizer_steps,Transition_gen,Operator_entropy,Policy_parameter_L2_drift
1,Hurink_edata,la15.fjs,100,UCBOnly,1.0772907742433395,2.90731401557062,0.08626683828144982,1572.7536190092653,49373.52955832138,31.49999999999966,27.0,77.48164510726929,77.06100029249956,0.0,100.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.99891244695764,0.0
1,Hurink_edata,la15.fjs,100,XPrePPO_Frozen,1.0144643024307722,2.782899392037913,0.11233170348995936,1607.2065840139312,49697.521474427995,33.49999999999932,20.5,75.51250565052032,75.20267373349998,0.0,100.0,10000.0,0.0,0.0,0.0,37.0,0.0,0.0,63.0,0.8551503691248739,0.0
1,Hurink_edata,la15.fjs,100,XPrePPO_Online_R16,1.0144643024307722,2.782899392037913,0.11013097291953658,1607.2065840139312,49663.705329103585,33.49999999999932,20.5,75.07129085063934,74.71521200549978,0.0387320285663008,100.0,10000.0,37.0,37.0,0.0,37.0,3.0,12.0,63.0,0.8512855480008901,0.1804461476882679
1,Hurink_edata,la15.fjs,200,ScratchNoBC_R16,1.1008473791593978,2.9508808849202293,0.06719786531935623,1521.3084365506716,48329.51543433308,32.999999999999545,28.5,153.59000265598297,152.73293892750007,0.1229276675730943,100.0,20000.0,137.0,137.0,0.0,137.0,9.0,36.0,63.0,0.9930889626443486,0.743394843100142
1,Hurink_edata,la15.fjs,200,UCBOnly,1.0856657292731744,2.920401706551136,0.08732814274970296,1517.1626133693128,48408.091837165215,31.49999999999943,37.0,152.90268111228943,152.09850476349993,0.0,100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9980248127544326,0.0
1,Hurink_edata,la15.fjs,200,XPrePPO_Frozen,0.9576995007638291,2.669220266056321,0.14948493970483528,1583.964061689278,49056.25063067931,33.49999999999932,23.5,147.52967357635498,146.84817908200057,0.0,100.0,20000.0,0.0,0.0,0.0,137.0,0.0,0.0,63.0,0.6352800248242366,0.0
1,Hurink_edata,la15.fjs,200,XPrePPO_Online_R16,0.947644332874249,2.6489233784367476,0.15360636837505642,1582.3553253669265,49160.98131463786,33.49999999999932,21.5,145.1309199333191,144.63446191799994,0.120098034851253,100.0,20000.0,137.0,137.0,0.0,137.0,9.0,36.0,63.0,0.6081002222628111,0.37594147334583583
1,Hurink_edata,la16.fjs,50,ScratchNoBC_R16,1.034619352090203,2.8249201080404136,0.06200038509892985,1639.7930961611492,54982.93152924371,161.9999999999995,16.5,38.88317942619324,38.74141959899998,0.013387440703809199,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.9870262028258284,0.128668764903942
1,Hurink_edata,la16.fjs,50,UCBOnly,1.0347879854278474,2.820566422094736,0.05386281179759113,1622.575761802081,55218.80671667211,161.99999999999946,18.0,38.35640823841095,38.1372656654994,0.0,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9973765772723939,0.0
1,Hurink_edata,la16.fjs,50,XPrePPO_Frozen,0.9475454091141349,2.6477689742780903,0.0725299218237399,1672.9790690666769,55845.33073484454,161.9999999999995,15.5,39.659497022628784,39.512845199500134,0.0,100.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,35.0,0.8772480623330972,0.0
