Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
5,Hurink_edata,la14.fjs,50,online_minus_scratch,best_energy_index,241.77843002358713,52427.55231922898,0.46116673262068253
5,Hurink_edata,la14.fjs,100,online_minus_scratch,best_energy_index,302.9674273533965,51482.26907304959,0.5884888774492588
5,Hurink_edata,la14.fjs,200,online_minus_scratch,best_energy_index,688.6780144464865,50722.84917817156,1.3577273863843935
5,Hurink_edata,la20.fjs,50,online_minus_scratch,best_energy_index,616.7499786808694,55965.875189626524,1.1020107817329126
5,Hurink_edata,la20.fjs,100,online_minus_scratch,best_energy_index,631.9903602179911,54111.49082781749,1.16794113514444
5,Hurink_edata,la20.fjs,200,online_minus_scratch,best_energy_index,768.15842346711,52902.42947733306,1.452028632817781
5,Hurink_edata,la21.fjs,50,online_minus_scratch,best_energy_index,405.4221007384185,86315.92714368246,0.46969558707693465
5,Hurink_edata,la21.fjs,100,online_minus_scratch,best_energy_index,517.0542288355646,83634.2015621207,0.6182329946098833
5,Hurink_edata,la21.fjs,200,online_minus_scratch,best_energy_index,1501.7780043694947,81695.69518181134,1.8382584309091592
5,Hurink_edata,la30.fjs,50,online_minus_scratch,best_energy_index,994.621951278823,122886.44453157004,0.8093829673974337
5,Hurink_edata,la30.fjs,100,online_minus_scratch,best_energy_index,1550.319881608797,119277.84167510868,1.2997551429808636
5,Hurink_edata,la30.fjs,200,online_minus_scratch,best_energy_index,2637.490145017946,116214.0957858882,2.269509672800134
5,Hurink_edata,la33.fjs,50,online_minus_scratch,best_energy_index,-160.93592910282314,155197.34209336998,-0.1036976065002458
5,Hurink_edata,la33.fjs,100,online_minus_scratch,best_energy_index,719.4929707829142,151341.6929530096,0.47540962225545547
5,Hurink_edata,la33.fjs,200,online_minus_scratch,best_energy_index,1680.667339041829,147221.41031030612,1.141591658101495
5,Hurink_edata,la38.fjs,50,online_minus_scratch,best_energy_index,1122.7523822776275,151673.2255809476,0.7402442837074218
5,Hurink_edata,la38.fjs,100,online_minus_scratch,best_energy_index,1959.678467083606,146219.02964842762,1.3402349008849954
5,Hurink_edata,la38.fjs,200,online_minus_scratch,best_energy_index,3211.6085383382742,141496.37248014536,2.2697462005882336
1,Brandimarte,Mk04.fjs,50,online_minus_scratch,best_workload_imbalance,0.0,35.999999999999986,0.0
1,Brandimarte,Mk04.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,35.99999999999997,0.0
1,Brandimarte,Mk04.fjs,200,online_minus_scratch,best_workload_imbalance,0.0,35.99999999999997,0.0
1,Brandimarte,Mk10.fjs,50,online_minus_scratch,best_workload_imbalance,-4.0,231.0,-1.7316017316017316
1,Brandimarte,Mk10.fjs,100,online_minus_scratch,best_workload_imbalance,-5.684341886080802e-14,220.5,-2.5779328281545586e-14
1,Brandimarte,Mk10.fjs,200,online_minus_scratch,best_workload_imbalance,1.5000000000000568,216.99999999999994,0.6912442396313628
1,Hurink_edata,la05.fjs,50,online_minus_scratch,best_workload_imbalance,4.263256414560601e-14,125.99999999999972,3.3835368369528656e-14
1,Hurink_edata,la05.fjs,100,online_minus_scratch,best_workload_imbalance,0.0,125.99999999999972,0.0
