experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Brandimarte,Mk05.fjs,47,100,63,10,0.1111111111111111,0.9954107836132493,0.30158731341362,0.1904762023025089
E1,Brandimarte,Mk05.fjs,48,100,70,10,0.1,0.9999999999999998,0.3285714387893677,0.22857143878936767
E1,Brandimarte,Mk05.fjs,49,100,50,10,0.1,0.9999999999999998,0.4000000059604645,0.3000000059604645
E1,Brandimarte,Mk05.fjs,50,100,54,10,0.12962962962962962,0.9968853998884466,0.3333333432674408,0.20370371363781117
E1,Brandimarte,Mk05.fjs,51,100,61,10,0.11475409836065574,0.9947275564940256,0.3442623019218445,0.22950820356118873
E1,Brandimarte,Mk06.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.3285714387893677,0.2142857245036534
E1,Brandimarte,Mk06.fjs,43,100,70,10,0.11428571428571428,0.9991106451708882,0.2142857164144516,0.10000000212873732
E1,Brandimarte,Mk06.fjs,44,100,62,10,0.11290322580645161,0.9967775738052403,0.3064516186714172,0.19354839286496556
E1,Brandimarte,Mk06.fjs,45,100,70,10,0.11428571428571428,0.9991106451708882,0.3285714387893677,0.2142857245036534
E1,Brandimarte,Mk06.fjs,46,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk06.fjs,47,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk06.fjs,48,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk06.fjs,49,100,70,10,0.1,0.9999999999999998,0.3285714387893677,0.22857143878936767
E1,Brandimarte,Mk06.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk06.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk07.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk07.fjs,43,100,62,10,0.11290322580645161,0.9956046496572377,0.3870967626571655,0.2741935368507139
E1,Brandimarte,Mk07.fjs,44,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk07.fjs,45,100,62,10,0.11290322580645161,0.9956046496572377,0.3709677457809448,0.2580645199744932
E1,Brandimarte,Mk07.fjs,46,100,53,10,0.1320754716981132,0.9970420213773472,0.3396226465702057,0.20754717487209248
E1,Brandimarte,Mk07.fjs,47,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk07.fjs,48,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk07.fjs,49,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk07.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk07.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk08.fjs,43,100,61,10,0.13114754098360656,0.9910812686339024,0.2622950673103332,0.13114752632672663
E1,Brandimarte,Mk08.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk08.fjs,44,100,70,10,0.11428571428571428,0.9982212903417764,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk08.fjs,45,100,70,10,0.11428571428571428,0.9982212903417764,0.2285714298486709,0.11428571556295662
E1,Brandimarte,Mk08.fjs,47,100,42,10,0.11904761904761904,0.9981154864489722,0.4047619104385376,0.28571429139091853
E1,Brandimarte,Mk08.fjs,46,100,70,10,0.11428571428571428,0.9982212903417764,0.2571428716182709,0.1428571573325566
E1,Brandimarte,Mk08.fjs,48,100,32,10,0.125,0.9967940394481686,0.53125,0.40625
E1,Brandimarte,Mk08.fjs,49,100,63,10,0.12698412698412698,0.9932683052765193,0.3650793731212616,0.23809524613713462
E1,Brandimarte,Mk08.fjs,50,100,51,10,0.11764705882352941,0.9975700756729121,0.3725490272045135,0.2549019683809841
E1,Brandimarte,Mk08.fjs,51,100,35,10,0.11428571428571428,0.9955532258544416,0.342857152223587,0.2285714379378727
E1,Brandimarte,Mk09.fjs,42,100,62,10,0.11290322580645161,0.9956046496572377,0.3064516186714172,0.19354839286496556
E1,Brandimarte,Mk09.fjs,43,100,70,10,0.11428571428571428,0.9991106451708882,0.2000000029802322,0.08571428869451793
E1,Brandimarte,Mk09.fjs,44,100,70,10,0.1,0.9999999999999998,0.2428571432828903,0.1428571432828903
E1,Brandimarte,Mk09.fjs,45,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
