dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk05.fjs,UniformFixed,0.9512353741217718,221.13103498856225,6474.583657365867,1.9999999999999432,41.5,69.49860227108002,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,AdaptiveNoBC,0.811059820503437,154.53675123084784,4150.712548896881,25.999999999999982,86.0,86.76682114601135,70.0,2.0,0.0,0.9150778388873666,10
Brandimarte,Mk06.fjs,AdaptivePursuit,0.8899572657398838,151.90480228214122,4162.851887314477,25.499999999999993,88.5,86.74665558338165,-1.0,0.0,0.0,0.6234182484690081,10
Brandimarte,Mk06.fjs,AdaptiveSAOS,0.8002877635029815,153.56314884749304,4124.356121812147,26.499999999999986,79.5,87.10968482494354,70.0,2.0,0.30322581529617304,0.8383172148696636,10
Brandimarte,Mk06.fjs,FixedUCBPPO,0.807834366127309,151.85053547889086,4112.11517552047,27.49999999999996,84.0,86.76549887657166,48.0,4.0,0.3541666567325592,0.8210795294801265,10
Brandimarte,Mk06.fjs,PPOOnly,0.8087462515847603,152.02700458381395,4323.5071556833045,25.499999999999986,76.5,86.90791499614716,-1.0,7.0,0.0,0.8926477176880758,10
Brandimarte,Mk06.fjs,ProbabilityMatching,0.8517569485059047,152.94031241724565,4395.025437173357,23.999999999999996,81.5,85.53766334056854,-1.0,0.0,0.0,0.8834717142192609,10
Brandimarte,Mk06.fjs,Random,0.7829941647784314,152.84674842854668,4377.394315176638,25.99999999999998,75.0,86.99170434474945,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk06.fjs,RandomUCBPPO,0.7984426703793194,156.21852998046504,4148.115874618001,26.999999999999975,81.0,87.19716608524323,55.5,3.5,0.3453443944454193,0.8230713133096571,10
Brandimarte,Mk06.fjs,UCBOnly,0.8045942579181429,154.09087398963965,4155.611068751945,26.99999999999998,81.5,86.76027393341064,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,UniformFixed,0.780303136251403,161.24090796961121,4530.944516430255,23.499999999999964,76.0,86.45111930370331,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,AdaptiveNoBC,1.080387627197084,213.60218789376393,5952.917489883919,5.999999999999986,48.0,67.64393734931946,70.0,2.0,0.0,0.9170696227168972,10
Brandimarte,Mk07.fjs,AdaptivePursuit,1.0514132747857379,216.17275414018525,5938.56419398576,6.499999999999943,65.5,67.45974338054657,-1.0,0.0,0.0,0.5607057373822371,10
Brandimarte,Mk07.fjs,AdaptiveSAOS,1.08100459845133,212.75985103419356,5938.553586928508,5.999999999999986,42.0,68.23045992851257,70.0,2.0,0.2928571552038193,0.8469360575644322,10
Brandimarte,Mk07.fjs,FixedUCBPPO,1.0997802109516246,209.45651343334538,5944.267563484293,5.499999999999972,44.0,67.68801021575928,48.0,4.0,0.3541666567325592,0.8598013717412931,10
Brandimarte,Mk07.fjs,PPOOnly,1.0697070686126449,214.3493904367337,5943.337479289744,3.999999999999972,54.0,67.74731802940369,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk07.fjs,ProbabilityMatching,1.0511394539133376,216.17416905400995,5960.86391322355,8.499999999999972,51.5,66.63857424259186,-1.0,0.0,0.0,0.8570580253609086,10
Brandimarte,Mk07.fjs,Random,1.108107677867372,210.89204414025573,5933.37148496478,5.999999999999986,46.0,67.30035960674286,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk07.fjs,RandomUCBPPO,1.086619436798614,210.8453892078357,5960.620984970539,6.499999999999972,46.5,67.59921622276306,55.5,3.5,0.34408602118492126,0.8353794667124717,10
Brandimarte,Mk07.fjs,UCBOnly,1.0938983671521996,212.12256673242888,5950.384296585837,5.999999999999929,50.5,68.00169897079468,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,UniformFixed,1.0866596671005677,211.70315493721287,5947.842226999004,5.999999999999957,52.0,66.89343905448914,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk08.fjs,AdaptiveNoBC,1.0512531870430872,755.3068787892975,29249.45348726574,522.9999999999998,11.5,114.87353372573853,62.0,3.0,0.0,0.9012665603828445,10
Brandimarte,Mk08.fjs,AdaptivePursuit,0.7776415723771369,809.4364181050312,29973.083348499556,522.9999999999998,12.0,110.58121991157532,-1.0,0.0,0.0,0.40391005158902116,10
Brandimarte,Mk08.fjs,AdaptiveSAOS,1.0460121006744871,755.5330479705707,29201.030824373593,522.9999999999998,8.5,113.17190659046173,62.0,3.0,0.3025761097669601,0.8353794667124717,10
Brandimarte,Mk08.fjs,FixedUCBPPO,1.0303240534823108,761.8541818351462,29331.048890581267,522.9999999999998,10.0,113.73450100421906,48.0,4.0,0.34375,0.851376930823332,10
Brandimarte,Mk08.fjs,PPOOnly,0.9756536095852206,752.1053307228624,29516.086106106,522.9999999999998,11.5,113.91923332214355,-1.0,7.0,0.0,0.9020181229336985,10
