dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Hurink_edata,la16.fjs,R1_survival_only,survival,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed51.pkl,28,28,0.9848998542558874,0.837393954179386,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed42.pkl,28,28,0.9563468749344715,0.24794745484400657,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed43.pkl,15,15,0.9919222965121608,0.8964285714285712,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed44.pkl,22,22,0.988163032899199,0.3822699040090345,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed45.pkl,26,26,0.9665500925086815,0.401025641025641,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed47.pkl,18,18,0.9635081002545521,0.9050567595459237,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed48.pkl,8,8,0.45480747293063756,0.3333333333333334,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed49.pkl,12,12,0.9556224096782898,0.5734265734265735,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed46.pkl,22,22,0.9179713327155992,0.8746470920383964,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed50.pkl,28,28,0.9631983794163923,0.6618311270408476,computed
Hurink_edata,la16.fjs,R2_hv_only,hv,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R2_hv_only_hv_seed51.pkl,31,31,0.9787109272442993,0.805241935483871,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed42.pkl,22,22,0.9708491689367548,0.5866741953698477,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed43.pkl,26,26,0.9801751343979963,0.7802129876203481,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed44.pkl,24,24,0.979172652673088,0.6367986683317594,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed45.pkl,13,13,0.9454058463634408,0.6822564913721045,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed46.pkl,24,24,0.9525747926248079,0.6782608695652173,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed47.pkl,14,14,0.9666967254858387,0.8303984901693642,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed48.pkl,13,13,0.9865576862042993,0.37912087912087916,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed49.pkl,26,26,0.9882983627187256,0.37271328976941065,computed
Hurink_edata,la16.fjs,R3_cmax_only,cmax,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R3_cmax_only_cmax_seed50.pkl,28,28,0.9785056105200327,0.6141215106732347,computed
