dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,Learning_time,Transition_gen,BC_pre_accuracy,BC_final_accuracy,BC_pre_loss,BC_final_loss,BC_pre_post_KL,Demo_nn_disagreement,Demo_ucb_margin_median,Demo_forced_fraction,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,PPO_gradient_norm_mean,PPO_explained_variance_pre_mean,Reward_HV_corr,Outside_reference_points
Brandimarte,Mk03.fjs,100,Original24BC_R16,0.8942312643780173,2.634184760148641,0.0851878320243516,363.1916624409282,11927.12451752269,25.49999999999993,70.5,97.27499508857727,0.4365481990389526,70.0,0.1000000014901161,0.2714285850524902,2.30592429637909,2.0175453424453735,0.28779536485671997,0.8857142857142857,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,-0.00042921869498975003,2.2735392302274704,0.9777877926826476,0.0046506971120834,0.6338754197647667,0.0
Brandimarte,Mk03.fjs,100,Original24NoBC_R16,0.9036259864977282,2.65793114898933,0.0796060515351042,367.48355584074795,11926.519242089056,22.99999999999997,65.0,108.04593253135681,0.0263190399855375,70.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,-0.0002933164530206,2.298976168036461,0.759509664028883,0.0047169923782348,0.6321310924213907,0.0
Brandimarte,Mk03.fjs,100,UCBOnly,0.8980248588184652,2.6255629678487216,0.07737234056327386,367.5680415968683,11989.345342563116,24.4999999999999,67.5,108.62625789642334,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6302458436349144,0.0
Brandimarte,Mk03.fjs,200,EnhancedBC_R16,0.9878313745435818,2.79595809901942,0.06490339659620722,340.8605356683752,11752.878937324218,20.999999999999915,81.5,211.01188051700592,0.7969708344899118,109.0,0.10357142984867096,0.3273809552192688,2.30598783493042,1.9028950929641724,0.9838646948337555,0.7306223479490805,0.0222259163856506,0.18362533692722366,5.0,0.0,1.0,24.0,0.0017621106069002,2.160679057950065,1.6006669111195067,-0.0041736917836325,0.5885936178179731,0.0
Brandimarte,Mk03.fjs,200,EnhancedBC_R32,0.9935281313101827,2.7965930581816174,0.05950051457805832,338.1291965842123,11756.61068757337,21.499999999999886,85.5,200.16147422790527,0.6571332081221044,109.0,0.10357142984867096,0.3273809552192688,2.30598783493042,1.9028950929641724,0.9838646948337555,0.7306223479490805,0.0222259163856506,0.18362533692722366,2.0,0.0,1.0,12.0,0.006145129821056149,2.1714464761316776,1.5902069360017776,-0.00286419192949925,0.584755419569494,0.0
Brandimarte,Mk03.fjs,200,EnhancedBC_R8,1.012488578046903,2.835730694821921,0.06082475906103514,335.0046470271709,11630.602144734343,20.999999999999886,92.5,197.0988690853119,0.805364741012454,109.0,0.10357142984867096,0.3273809552192688,2.30598783493042,1.9028950929641724,0.9838646948337555,0.7306223479490805,0.0222259163856506,0.18362533692722366,10.5,0.0,1.0,46.0,0.00305852534799285,2.1494600023660397,1.9654801891495786,-0.0031890231702062,0.5848210191897286,0.0
Brandimarte,Mk03.fjs,200,UCBOnly,1.0259954923133163,2.863287242509933,0.05031973383364388,334.3807173438799,11689.66196156819,21.499999999999886,84.0,197.3902908563614,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5738650776134064,0.0
Brandimarte,Mk05.fjs,100,BasePaddedBC_R16,0.9682994511190399,2.7363204019203753,0.17113291075162887,219.41763939179032,6402.866267566309,2.9999999999999574,42.0,90.31672275066376,0.4268096317537129,62.0,0.1000000014901161,0.3289429247379303,2.3049232959747314,1.9209846258163452,0.4121599346399307,0.9246031746031746,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,0.00064200960332535,2.1391617978612585,1.2434610625108085,-0.0004650851090749501,0.562500357434082,0.0
Brandimarte,Mk05.fjs,100,BasePaddedNoBC_R16,0.9945728070044723,2.791569370237838,0.15745823776854828,219.04815490136502,6429.316370281371,2.9999999999999574,41.5,89.27997636795044,0.0440629944205284,62.0,0.0,0.0,0.0,0.0,0.0,0.9246031746031746,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,6.478378903313946e-05,2.299671582877636,0.6840162438650925,0.0009140272935231,0.5449381633551795,0.0
Brandimarte,Mk05.fjs,100,EnhancedBC_R16,0.9475578224302357,2.695600030886109,0.15896224359112526,220.2582971316578,6420.185518826716,2.9999999999999574,42.5,89.85997891426086,0.42895449139177794,62.0,0.1031914912164211,0.45000000298023224,2.306665301322937,1.6481308937072754,1.3439297676086426,0.8386677075201665,0.009681373834609899,0.3226645849596669,2.0,0.0,1.0,12.0,0.00307836141049235,2.1872297426064806,1.9072918444871905,-0.00525245070457455,0.5498538830974775,0.0
