dataset,instance,variant,Budget,seed,normalized_min,normalized_max,coordinates_below_zero,coordinates_above_one,coordinates_above_reference,reference_dominates_front,front_points,front_path,front_sha256,outside_reference_points,inside_reference_points,outside_dimension_counts,outside_dimension_maxima,amended_fixed_box_hv_valid
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,50,0.04545454545454559,0.8636363636363635,0,0,0,True,82,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed50.pkl,63ff0c40a5c71e93f9c258455f762624d0ec2fd3ee3dd24c485e3ac72b4bf2c4,0,82,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,46,4.0371746350005666e-16,0.8636363636363635,0,0,0,True,77,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed46.pkl,4802f2b75a662b89589e4ec311a7d9a38548f68cd3226114a82c9b4fa21d10b0,0,77,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,45,1.6148698540002268e-16,0.590909090909091,0,0,0,True,42,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed45.pkl,2692450933bec353ab6dba49b7ac1a05cb13dcb110940487beba514ac7a8df7d,0,42,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,49,3.2297397080004535e-16,1.0,0,0,0,True,87,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed49.pkl,59007e30e9b6da24a4f2a3fba7f89d33208191ff3359a043abd2f2e8461225e2,0,87,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,44,2.42230478100034e-16,0.9999999999999999,0,0,0,True,74,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed44.pkl,dc018e5c60e83f2421b4b68577a9026aa48b43d937455f40590b5ddf45dc8008,0,74,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,48,0.04545454545454559,0.8636363636363635,0,0,0,True,76,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed48.pkl,6407e6a126bf06fe9f7dff3e81d14d78924009ed52036ee3e2fa9e3e4b988fbd,0,76,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,48,4.84460956200068e-16,0.8636363636363635,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed48.pkl,01301559a088b9f9369b6de7496a132630091fd6ee423aa4c1d74d00215f1191,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,48,3.2297397080004535e-16,0.8636363636363635,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed48.pkl,dba32edb4f2f46009a422ebb59ad2cb8207da81bf6776f92bfbe44b6100ba5da,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,42,2.42230478100034e-16,0.7272727272727273,0,0,0,True,87,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed42.pkl,8b187afcbcd70556b37b3526252d0908dedfd445bdb570baadf391ea463c664e,0,87,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedNoBC_R16,100,44,3.2297397080004535e-16,0.9999999999999999,0,0,0,True,93,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedNoBC_R16_g100_seed44.pkl,7d5c94ba9b051625a684de387fbd4b95fad2422ce972f1f192e85cd8ad1efdd6,0,93,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
