dataset,instance,variant,Budget,seed,feature_index,mean,std,min,max,constant
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,41,0.07833333387970924,0.00968962878590664,0.07000000029802322,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,42,0.07533333251873651,0.004988875474937846,0.07000000029802322,0.07999999821186066,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,43,0.08266666879256566,0.00997775448434701,0.07000000029802322,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,44,0.08433333386977514,0.009551033744430379,0.07000000029802322,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,45,0.7482363442579906,0.03587174491299553,0.696169912815094,0.7983475923538208,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,46,0.7545338054498036,0.013858736269982984,0.7209665775299072,0.7939702272415161,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,47,0.7820684154828389,0.02648097232753891,0.7387897968292236,0.8132063150405884,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,48,0.7112923920154571,0.013152608581372616,0.6831077933311462,0.7459145188331604,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,49,0.6856482267379761,0.021499897531551147,0.659494161605835,0.7454932332038879,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,50,0.8111580113569895,0.045752165025615445,0.7489191889762878,0.9021602272987366,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,51,0.7934938867886862,0.021045154442782762,0.7568911910057068,0.8506094813346863,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,52,0.7827137033144633,0.024311839434948145,0.7541851997375488,0.8406516909599304,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,53,0.7576636036237081,0.025216310743436117,0.7182110548019409,0.8004109263420105,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,54,0.7961066404978434,0.017401080064894953,0.7815107703208923,0.8213948011398315,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,55,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,56,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,57,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,58,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,59,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,60,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,61,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,62,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,63,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,64,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,65,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,66,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,67,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,68,0.0,0.0,0.0,0.0,True
