dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,CPU_time,Learning_time,Initial_evaluations,Offspring_evaluations,Transition_gen,BC_final_accuracy,BC_pre_post_KL,Demo_nn_disagreement,PPO_samples,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,seed_count
Brandimarte,Mk06.fjs,100,UCBOnly,0.793177777429249,2.487967122146322,0.07877509190397221,156.84339021266726,4126.418034750356,26.999999999999982,54.0,110.34825158119202,109.381885465,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk06.fjs,200,EnhancedBC_R16,0.8289615702715871,2.5390199672598683,0.10546694268388336,141.35101402153305,4081.254931708845,24.99999999999997,62.0,204.42382264137268,203.453917289,0.5609027221798897,100.0,20000.0,83.0,0.3780487775802612,0.974008858203888,0.8275862068965517,117.0,7.0,0.0,1.0,32.0,5.28697477421014e-05,2.1999063066073825,5
Brandimarte,Mk06.fjs,200,EnhancedBC_R32,0.8380744348971736,2.5712389353377603,0.11894427524706334,141.77065360925684,4103.81735307517,23.99999999999998,64.0,202.8253288269043,201.940930401,0.5107751097530127,100.0,20000.0,83.0,0.3780487775802612,0.974008858203888,0.8275862068965517,117.0,3.0,0.0,1.0,16.0,0.0029403154846725,2.189143553376198,5
Brandimarte,Mk06.fjs,200,EnhancedBC_R8,0.8241450078727492,2.571149817773054,0.1131368829165641,144.19174970218572,4062.617318999602,23.0,65.0,203.09566497802732,202.202444206,0.6525803506374359,100.0,20000.0,83.0,0.3780487775802612,0.974008858203888,0.8275862068965517,117.0,14.0,0.0,1.0,60.0,-0.0026419382852812,2.19516700108846,5
Brandimarte,Mk06.fjs,200,UCBOnly,0.8618286009430633,2.613788346416425,0.08829509849257526,144.58062319085818,4092.4803986701,26.0,65.0,219.87368941307068,218.78458183500004,0.0,100.0,20000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk07.fjs,100,BasePaddedBC_R16,1.1087579038396085,2.9839880861172974,0.0649047745725173,212.39687519770132,5953.300880620456,5.999999999999943,29.0,81.13549637794495,80.75568184500003,0.4875390660017729,100.0,10000.0,70.0,0.2571428716182709,0.3059249222278595,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,0.0013694160928328,2.273332198460897,5
Brandimarte,Mk07.fjs,100,BasePaddedNoBC_R16,1.1153240794026043,2.984142241929632,0.06272285356314938,211.9176799296239,5944.603700920602,6.999999999999943,26.0,87.52570295333862,87.05517076900003,0.0293038850650191,100.0,10000.0,70.0,0.0,0.0,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,0.0001008904364425,2.2995166182518005,5
Brandimarte,Mk07.fjs,100,EnhancedBC_R16,1.1027361707904864,2.973781811348636,0.07302150048818652,209.82264629341176,5953.050429590838,5.999999999999943,35.0,79.11619520187378,78.81205864100002,0.4720341023057699,100.0,10000.0,70.0,0.3857142925262451,1.1640833616256714,0.8714285714285714,30.0,1.0,0.0,1.0,8.0,0.0050395435661941,2.2623497545719147,5
Brandimarte,Mk07.fjs,100,EnhancedNoBC_R16,1.1187164704946624,2.9926147927253055,0.06272285356314938,210.50553342564365,5943.603808563744,6.999999999999943,26.0,85.43922686576843,85.09910274499998,0.0285485675558447,100.0,10000.0,70.0,0.0,0.0,0.8714285714285714,30.0,1.0,0.0,1.0,8.0,1.932280429173261e-05,2.2987823486328125,5
Brandimarte,Mk07.fjs,100,UCBOnly,1.1449120853001795,3.045715916570636,0.05634588366696334,206.8138010672784,5955.197836814066,5.999999999999972,31.0,80.05758452415466,79.71237843699998,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk07.fjs,200,EnhancedBC_R16,1.1518534608400428,3.056443905268924,0.05345530324583107,194.07340765625264,5838.770029166467,4.999999999999972,52.0,156.09413290023804,155.53027063399998,0.5674628159031272,100.0,20000.0,80.0,0.3600000143051147,1.1076947450637815,0.8125,120.0,7.0,0.0,1.0,32.0,0.0033490201458334,2.212003745138645,5
Brandimarte,Mk07.fjs,200,EnhancedBC_R32,1.1382195746288983,3.0304797608188743,0.06273802233354273,195.3549353543929,5822.149874639599,4.999999999999943,68.0,172.9325942993164,172.14001988399997,0.565696551464498,100.0,20000.0,80.0,0.3600000143051147,1.1076947450637815,0.8125,120.0,3.0,0.0,1.0,16.0,0.0016947562707532,2.1856557577848434,5
Brandimarte,Mk07.fjs,200,EnhancedBC_R8,1.1595204875815424,3.0628734693575774,0.043586145669275385,195.0860510285553,5854.678162556232,3.999999999999943,48.0,173.55719876289368,172.74281805899994,0.7429845817387104,100.0,20000.0,80.0,0.3600000143051147,1.1076947450637815,0.8125,120.0,14.0,0.0,1.0,60.0,0.0042539263144135,2.112601645968177,5
Brandimarte,Mk07.fjs,200,UCBOnly,1.1443488684889673,3.0372235986504497,0.050672112550676524,195.93213431975872,5858.859259580925,3.999999999999943,47.0,157.63180446624756,157.16267863500002,0.0,100.0,20000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk09.fjs,100,BasePaddedBC_R16,0.9864668649371227,2.8173132639331366,0.1195426996959102,670.7134270885223,27141.72071146059,28.999999999999886,41.0,136.50491428375244,135.99187748999998,0.5209174789488316,100.0,10000.0,70.0,0.2714285850524902,0.2983948290348053,0.9285714285714286,30.0,1.0,0.0,1.0,8.0,-0.000390263815851,2.244663268327713,5
Brandimarte,Mk09.fjs,100,BasePaddedNoBC_R16,0.9862462378099572,2.8192618381591266,0.11270640678278593,665.8471336932821,27258.918309213637,28.999999999999886,37.0,147.79209423065186,147.06641430400003,0.0267494730651378,100.0,10000.0,70.0,0.0,0.0,0.9285714285714286,30.0,1.0,0.0,1.0,8.0,9.104290490680178e-05,2.299479216337204,5
Brandimarte,Mk09.fjs,100,EnhancedBC_R16,0.9921242146722355,2.8316751935295867,0.11877667793370145,670.1734028355654,27306.427241025933,28.999999999999886,41.0,135.20493841171265,134.69938090800008,0.4709935933351517,100.0,10000.0,70.0,0.3857142925262451,1.1771875619888306,0.8285714285714286,30.0,1.0,0.0,1.0,8.0,0.0005321099519537,2.197659879922867,5
Brandimarte,Mk09.fjs,100,EnhancedNoBC_R16,1.021818465871984,2.8879899895863024,0.11270640678278593,663.2133424207268,27258.918309213637,28.999999999999943,32.0,135.14866304397583,134.73376784699997,0.0262152049690485,100.0,10000.0,70.0,0.0,0.0,0.8285714285714286,30.0,1.0,0.0,1.0,8.0,9.386055171489716e-05,2.2987219989299774,5
Brandimarte,Mk09.fjs,100,UCBOnly,0.9919203711769382,2.8426172028978733,0.12252783541758018,668.3886836594122,27292.228249902837,28.999999999999943,50.0,133.3458549976349,132.83845934299995,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk09.fjs,200,EnhancedBC_R16,0.8962195738771904,2.659354897643089,0.15262661123753726,635.6348383583108,26996.126837032043,28.999999999999886,52.0,270.5209367275238,269.237453726,0.5804577302187681,100.0,20000.0,80.0,0.395061731338501,1.129690408706665,0.8125,120.0,7.0,0.0,1.0,32.0,0.0025791058109866,2.141362564904349,5
Brandimarte,Mk09.fjs,200,EnhancedBC_R32,0.9204179002201454,2.7101185650109336,0.1524996064455787,632.0073388703297,27207.40781284645,28.999999999999886,43.0,271.6061370372772,270.38820331,0.5349969174712896,100.0,20000.0,80.0,0.395061731338501,1.129690408706665,0.8125,120.0,3.0,0.0,1.0,16.0,-0.0005810055881738,2.1242584735155106,5
